PLAYER_SK,Player_Id,Player_Name,Batting_hand,Bowling_skill,Country_Name
292,293,S Nadeem,Right-hand bat,Slow left-arm orthodox,India
293,294,P Parameswaran,Right-hand bat,Left-arm medium,India
294,295,CJ Ferguson,Right-hand bat,Right-arm medium,Australia
295,296,VR Aaron,Right-hand bat,Right-arm fast,India
296,297,AA Chavan,Left-hand bat,Slow left-arm orthodox,India
297,298,ND Doshi,Right-hand bat,Slow left-arm orthodox,India
298,299,B Kumar,Right-hand bat,Right-arm medium,India
299,300,Y Gnaneswara Rao,Right-hand bat,Right-arm medium,India
300,301,S Rana,Right-hand bat,Right-arm medium-fast,India
301,302,BA Bhatt,Left-hand bat,Slow left-arm orthodox,India
302,303,F du Plessis,Right-hand bat,Legbreak,South Africa
303,304,RE Levi,Right-hand bat,Right-arm medium,South Africa
304,305,GJ Maxwell,Right-hand bat,Right-arm offbreak,Australia
305,306,SPD Smith,Right-hand bat,Legbreak googly,India
306,307,MN Samuels,Right-hand bat,Right-arm offbreak,West Indies
307,308,SA Yadav,Right-hand bat,Right-arm offbreak,India
308,309,KK Cooper,Right-hand bat,Right-arm medium,West Indies
309,310,JP Faulkner,Right-hand bat,Left-arm fast-medium,Australia
310,311,HV Patel,Right-hand bat,Right-arm medium,India
311,312,DAJ Bracewell,Right-hand bat,Right-arm fast-medium,New Zealand
312,313,DJ Harris,Right-hand bat,Right-arm medium,Australia
313,314,Ankit Sharma,Left-hand bat,Slow left-arm orthodox,India
314,315,SP Narine,Left-hand bat,Right-arm offbreak,West Indies
315,316,GB Hogg,Left-hand bat,Slow left-arm chinaman,Australia
316,317,RR Bhatkal,Right-hand bat,Right-arm medium,India
317,318,CJ McKay,Right-hand bat,Right-arm fast-medium,Australia
318,319,N Saini,Right-hand bat,N/A,India
319,320,DA Miller,Left-hand bat,Right-arm offbreak,South Africa
320,321,Azhar Mahmood,Right-hand bat,Right-arm fast-medium,Pakistan
321,322,P Negi,Left-hand bat,Slow left-arm orthodox,India
322,323,RJ Peterson,Left-hand bat,Slow left-arm orthodox,South Africa
323,324,KMDN Kulasekara,Right-hand bat,Right-arm fast-medium,Sri Lanka
324,325,A Ashish Reddy,Right-hand bat,Right-arm medium,India
325,326,V Pratap Singh,Right-hand bat,Right-arm medium,India
326,327,BB Samantray,Right-hand bat,N/A,India
327,328,MJ Clarke,Right-hand bat,Slow left-arm orthodox,Australia
328,329,Gurkeerat Singh,Right-hand bat,Right-arm offbreak,India
329,330,AP Majumdar,Right-hand bat,Legbreak googly,India
330,331,PA Reddy,Right-hand bat,Legbreak,India
331,332,K Upadhyay,Right-hand bat,Right-arm medium,India
332,333,P Awana,Right-hand bat,Right-arm medium,India
333,334,AD Russell,Right-hand bat,Right-arm fast,West Indies
334,335,A Chandila,Right-hand bat,Right-arm offbreak,India
335,336,CA Lynn,Right-hand bat,Slow left-arm orthodox,Australia
336,337,Sunny Gupta,Right-hand bat,Right-arm offbreak,India
337,338,MC Juneja,Right-hand bat,Right-arm offbreak,India
338,339,KK Nair,Right-hand bat,Right-arm offbreak,India
339,340,GH Vihari,Right-hand bat,Right-arm offbreak,India
340,341,MDKJ Perera,Left-hand bat,N/A,Sri Lanka
341,342,R Shukla,Right-hand bat,Right-arm medium,India
342,343,B Laughlin,Right-hand bat,Right-arm fast-medium,Australia
343,344,AS Rajpoot,Right-hand bat,Right-arm medium,India
344,345,M Vohra,Right-hand bat,Right-arm medium,India
345,346,JD Unadkat,Right-hand bat,Left-arm medium,India
346,347,Mohammed Shami,Right-hand bat,Right-arm fast-medium,India
347,348,BMAJ Mendis,Left-hand bat,Legbreak,Sri Lanka
348,349,R Rampaul,Left-hand bat,Right-arm fast-medium,West Indies
349,350,CH Morris,Right-hand bat,Right-arm fast-medium,South Africa
350,351,SV Samson,Right-hand bat,N/A,India
351,352,SMSM Senanayake,Right-hand bat,Right-arm offbreak,Sri Lanka
352,353,BJ Rohrer,Left-hand bat,N/A,Australia
353,354,KL Rahul,Right-hand bat,N/A,India
354,355,Q de Kock,Left-hand bat,N/A,South Africa
355,356,R Dhawan,Right-hand bat,Right-arm medium-fast,India
356,357,MG Johnson,Left-hand bat,Left-arm fast,Australia
357,358,LJ Wright,Right-hand bat,Right-arm medium-fast,England
358,359,IC Pandey,Right-hand bat,Right-arm medium,India
359,360,CM Gautam,Right-hand bat,N/A,India
360,361,X Thalaivan Sargunam,Right-hand bat,Right-arm offbreak,India
361,362,DJG Sammy,Right-hand bat,Right-arm medium-fast,West Indies
362,363,KW Richardson,Right-hand bat,Right-arm fast-medium,Australia
363,364,MM Sharma,Right-hand bat,Right-arm medium,India
364,365,UA Birla,Right-hand bat,Right-arm medium,India
365,366,Parvez Rasool,Right-hand bat,Right-arm offbreak,India
366,367,Sandeep Sharma,Right-hand bat,Right-arm medium,India
367,368,S Kaul,Right-hand bat,Right-arm medium,India
368,369,Sachin Baby,Left-hand bat,Right-arm offbreak,India
369,370,PV Tambe,Right-hand bat,Legbreak,India
370,371,NM Coulter-Nile,Right-hand bat,Right-arm fast,Australia
371,372,CJ Anderson,Left-hand bat,Left-arm medium-fast,New Zealand
372,373,NJ Maddinson,Left-hand bat,Slow left-arm orthodox,Australia
373,374,AR Patel,Left-hand bat,Slow left-arm orthodox,India
374,375,JJ Bumrah,Right-hand bat,Right-arm medium,India
